,mots,pourcentage
0,the,4.573822913220862
1,of,4.545637914202497
2,and,3.080502058742056
3,in,2.9649112898671164
4,to,1.6604406864445753
5,with,1.6472625857585073
6,a,1.6395708780111287
7,patients,1.209749642981048
8,was,1.0344002216072443
9,were,0.9081593958513188
10,for,0.8042944471786763
11,is,0.5741886727501083
12,or,0.5605264785694499
13,that,0.5513824903383007
14,by,0.5483703530386279
15,than,0.46295474532648073
16,0,0.4413856907341816
17,from,0.41658934617794735
18,1,0.4102423425822085
19,an,0.381734614567449
20,be,0.38038991041580944
21,this,0.3696860653687582
22,as,0.3628011801123635
23,at,0.3537647682133454
24,on,0.34795564627826236
25,had,0.34591169596777016
26,2,0.32756993133940604
27,after,0.3244502177076022
28,not,0.2954583961982524
29,disease,0.27405070610415
30,are,0.2735128244434942
31,these,0.2724370611221825
32,less,0.26071124091988523
33,we,0.25699985746135995
34,p,0.2542566609920151
35,3,0.25285816867431
36,5,0.22978304543217445
37,treatment,0.22886864660905953
38,group,0.22859970577873162
39,have,0.20536321803839938
40,two,0.20278138606725135
41,may,0.2026200215690546
42,no,0.19342224517183976
43,study,0.1925078463487248
44,during,0.19019495520790472
45,all,0.18809721673134694
46,one,0.1875593350706911
47,but,0.18094339064462428
48,6,0.1788456521680665
49,4,0.17868428766986974
50,patient,0.1741122935542951
51,who,0.16658195030511339
52,clinical,0.16443042366249
53,cell,0.1630857195108504
54,cases,0.16297814317871925
55,between,0.16206374435560433
56,cells,0.15695386857937385
57,results,0.15630841058658684
58,associated,0.15625462242052127
59,blood,0.15507128276707843
60,been,0.15496370643494725
61,more,0.14996140699084795
62,years,0.14759472768396226
63,both,0.14485153121461747
64,normal,0.14216212291133828
65,therapy,0.14001059626871493
66,three,0.13753634062969805
67,which,0.13656815364051755
68,7,0.13511587315674678
69,10,0.13350222817477925
70,there,0.13258782935166435
71,has,0.12952190388592608
72,significantly,0.12720901274510596
73,8,0.12564915592920403
74,risk,0.12559536776313843
75,increased,0.125003697936417
76,significant,0.12457339260789234
77,infection,0.12398172278117092
78,age,0.12317490029018716
79,only,0.12161504347428523
80,other,0.12129231447789172
81,compared,0.11940972866559627
82,control,0.11892563517100603
83,mean,0.11854911800854695
84,it,0.11817260084608786
85,levels,0.11376197122870996
86,treated,0.11306272506985739
87,human,0.11220211441280803
88,rate,0.11182559725034895
89,acute,0.11144908008788987
90,found,0.11048089309870934
91,high,0.11015816410231585
92,months,0.10924376527920092
93,syndrome,0.10838315462215159
94,also,0.10811421379182365
95,those,0.10348843151018344
96,greater,0.09950810722133023
97,tumor,0.09880886106247765
98,used,0.09848613206608414
99,diagnosis,0.09735658057870689
100,when,0.09687248708411662
101,9,0.09552778293247702
102,most,0.09536641843428027
103,year,0.09504368943788677
104,pressure,0.09418307878083743
105,12,0.09407550244870626
106,subjects,0.09396792611657509
107,can,0.09386034978444392
108,cancer,0.09256943379886991
109,their,0.09197776397214849
110,coronary,0.09160124680968941
111,groups,0.09133230597936148
112,surgery,0.09122472964723032
113,case,0.09111715331509915
114,chronic,0.09084821248477123
115,use,0.09074063615264005
116,n,0.0902565426580498
117,four,0.08998760182772188
118,serum,0.0892883556688693
119,time,0.08891183850641021
120,showed,0.08885805034034462
121,women,0.08794365151722969
122,without,0.0872444053583771
123,mg,0.0872444053583771
124,renal,0.08708304086018034
125,ventricular,0.08627621836919659
126,pulmonary,0.08611485387099985
127,effect,0.08541560771214725
128,children,0.08536181954608167
129,20,0.08509287871575374
130,studies,0.084931514217557
131,using,0.08369438639804856
132,effects,0.08299514023919596
133,related,0.08148907158935963
134,heart,0.08127391892509729
135,artery,0.08009057927165444
136,lesions,0.07998300293952328
137,i,0.07982163844132653
138,type,0.0795526976109986
139,response,0.07815420529329342
140,did,0.077562535466572
141,performed,0.07745495913444084
142,total,0.07702465380591617
143,left,0.07702465380591617
144,analysis,0.076917077473785
145,carcinoma,0.0765405603113259
146,tissue,0.0758951023185389
147,however,0.07535722065788307
148,15,0.07503449166148955
149,five,0.07498070349542398
150,early,0.07465797449903047
151,induced,0.07455039816689929
152,up,0.07449661000083371
153,function,0.0742276691705058
154,days,0.07406630467230904
155,survival,0.07266781235460387
156,complications,0.0719147780296857
157,studied,0.07132310820296427
158,low,0.07126932003689869
159,primary,0.0712155318708331
160,plasma,0.0712155318708331
161,cardiac,0.07105416737263635
162,b,0.07073143837624284
163,before,0.07057007387804609
164,changes,0.07046249754591492
165,activity,0.07024734488165259
166,failure,0.070193556715587
167,hiv,0.07003219221739025
168,observed,0.06992461588525908
169,should,0.0698708277191935
170,per,0.06981703955312792
171,surgical,0.06960188688886558
172,findings,0.06960188688886558
173,positive,0.06927915789247208
174,present,0.06906400522820974
175,data,0.06901021706214416
176,first,0.06890264073001298
177,increase,0.06836475906935716
178,11,0.06836475906935716
179,symptoms,0.06836475906935716
180,30,0.06793445374083248
181,among,0.06761172474443898
182,well,0.06739657208017663
183,higher,0.06723520758197989
184,incidence,0.06707384308378314
185,six,0.06707384308378314
186,occurred,0.06696626675165197
187,factors,0.06637459692493054
188,our,0.06632080875886497
189,reported,0.06632080875886497
190,such,0.06567535076607796
191,severe,0.06449201111263511
192,virus,0.06411549395017603
193,report,0.06357761228952018
194,similar,0.06325488329312667
195,flow,0.0631473069609955
196,pain,0.06303973062886434
197,24,0.06293215429673317
198,dose,0.062071543639683834
199,developed,0.06196396730755267
200,period,0.061856390975421505
201,tumors,0.06158745014509358
202,mortality,0.06131850931476566
203,injury,0.0612109329826345
204,18,0.06061926315591307
205,long,0.06045789865771632
206,although,0.06008138149525723
207,within,0.06002759332919164
208,into,0.0598662288309949
209,14,0.0598662288309949
210,because,0.05970486433279813
211,lung,0.059651076166732556
212,lower,0.05943592350247022
213,13,0.05922077083820789
214,05,0.05879046550968321
215,25,0.05830637201509296
216,either,0.05771470218837154
217,suggest,0.05701545602951895
218,t,0.05701545602951895
219,due,0.05690787969738778
220,follow,0.056638938867059854
221,respectively,0.056423786202797525
222,specific,0.05604726904033843
223,50,0.05593969270820726
224,common,0.0555093873796826
225,management,0.055294234715420255
226,rats,0.055186658383289094
227,day,0.05502529388509234
228,ml,0.05502529388509234
